"id","educ","jobcat","salary","nonwhite","gender","yearlap","clerical","custod","manager"
1,15,3,57000,0,0,0,0,0,1
2,16,1,40200,0,0,0,1,0,0
3,12,1,21450,0,1,0,1,0,0
4,8,1,21900,0,1,0,1,0,0
5,15,1,45000,0,0,0,1,0,0
6,15,1,32100,0,0,0,1,0,0
7,15,1,36000,0,0,0,1,0,0
8,12,1,21900,0,1,0,1,0,0
9,15,1,27900,0,1,0,1,0,0
10,12,1,24000,0,1,0,1,0,0
11,16,1,30300,0,1,0,1,0,0
12,8,1,28350,1,0,0,1,0,0
13,15,1,27750,1,0,0,1,0,0
14,15,1,35100,1,1,0,1,0,0
15,12,1,27300,0,0,1,1,0,0
16,12,1,40800,0,0,1,1,0,0
17,15,1,46000,0,0,1,1,0,0
18,16,3,103750,0,0,1,0,0,1
19,12,1,42300,0,0,1,1,0,0
20,12,1,26250,0,1,1,1,0,0
21,16,1,38850,0,1,1,1,0,0
22,12,1,21750,1,0,1,1,0,0
23,15,1,24000,1,1,1,1,0,0
24,12,1,16950,1,1,1,1,0,0
25,15,1,21150,1,1,1,1,0,0
26,15,1,31050,0,0,2,1,0,0
27,19,3,60375,0,0,2,0,0,1
28,15,1,32550,0,0,2,1,0,0
29,19,3,135000,0,0,2,0,0,1
30,15,1,31200,0,0,2,1,0,0
31,12,1,36150,0,0,2,1,0,0
32,19,3,110625,0,0,2,0,0,1
33,15,1,42000,0,0,2,1,0,0
34,19,3,92000,0,0,2,0,0,1
35,17,3,81250,0,0,2,0,0,1
36,8,1,31350,0,1,2,1,0,0
37,12,1,29100,1,0,2,1,0,0
38,15,1,31350,1,0,2,1,0,0
39,16,1,36000,1,0,2,1,0,0
40,15,1,19200,1,1,2,1,0,0
41,12,1,23550,1,1,2,1,0,0
42,15,1,35100,0,0,3,1,0,0
43,12,1,23250,0,0,3,1,0,0
44,8,1,29250,0,0,3,1,0,0
45,12,2,30750,0,0,3,0,1,0
46,15,1,22350,0,1,3,1,0,0
47,12,1,30000,0,1,3,1,0,0
48,12,2,30750,0,0,4,0,1,0
49,15,1,34800,0,0,4,1,0,0
50,16,3,60000,0,0,4,0,0,1
51,12,1,35550,0,0,4,1,0,0
52,15,1,45150,0,0,4,1,0,0
53,18,3,73750,0,0,4,0,0,1
54,12,1,25050,0,0,4,1,0,0
55,12,1,27000,0,0,4,1,0,0
56,15,1,26850,0,0,4,1,0,0
57,15,1,33900,0,0,4,1,0,0
58,15,1,26400,0,1,4,1,0,0
59,15,1,28050,1,0,4,1,0,0
60,12,1,30900,1,0,4,1,0,0
61,8,1,22500,1,0,4,1,0,0
62,16,3,48000,0,0,5,0,0,1
63,17,3,55000,0,0,5,0,0,1
64,16,3,53125,0,0,5,0,0,1
65,8,1,21900,0,0,5,1,0,0
66,19,3,78125,0,0,5,0,0,1
67,16,3,46000,0,0,5,0,0,1
68,16,3,45250,0,0,5,0,0,1
69,16,3,56550,0,0,5,0,0,1
70,15,1,41100,0,0,5,1,0,0
71,17,3,82500,0,0,5,0,0,1
72,16,1,54000,0,1,5,1,0,0
73,12,1,26400,0,1,5,1,0,0
74,15,1,33900,0,1,5,1,0,0
75,15,1,24150,0,1,5,1,0,0
76,15,1,29250,0,1,5,1,0,0
77,12,1,27600,0,1,5,1,0,0
78,12,1,22950,0,1,5,1,0,0
79,16,1,34800,0,1,5,1,0,0
80,16,1,51000,0,1,5,1,0,0
81,12,1,24300,0,1,5,1,0,0
82,12,1,24750,1,1,5,1,0,0
83,12,1,22950,1,1,5,1,0,0
84,8,1,25050,1,1,5,1,0,0
85,15,1,25950,0,0,6,1,0,0
86,15,1,31650,0,0,6,1,0,0
87,12,1,24150,0,0,6,1,0,0
88,19,3,72500,0,0,6,0,0,1
89,19,3,68750,0,0,6,0,0,1
90,8,1,16200,0,1,6,1,0,0
91,12,1,20100,0,1,6,1,0,0
92,8,1,24000,0,1,6,1,0,0
93,12,1,25950,0,1,6,1,0,0
94,12,1,24600,0,1,6,1,0,0
95,12,1,28500,0,1,6,1,0,0
96,8,2,30750,1,0,6,0,1,0
97,17,1,40200,1,0,6,1,0,0
98,8,2,30000,1,0,6,0,1,0
99,12,1,22050,1,1,6,1,0,0
100,18,3,78250,0,0,7,0,0,1
101,16,3,60625,0,0,7,0,0,1
102,14,1,39900,0,0,7,1,0,0
103,19,3,97000,0,0,7,0,0,1
104,15,1,27450,0,0,7,1,0,0
105,15,1,31650,0,0,7,1,0,0
106,19,3,91250,0,0,7,0,0,1
107,12,1,25200,0,1,7,1,0,0
108,12,1,21000,0,1,7,1,0,0
109,12,1,30450,1,0,7,1,0,0
110,15,1,28350,1,0,7,1,0,0
111,12,2,30750,1,0,7,0,1,0
112,12,2,30750,1,0,7,0,1,0
113,16,3,54875,0,0,8,0,0,1
114,14,1,37800,0,0,8,1,0,0
115,15,1,33450,0,0,8,1,0,0
116,15,1,30300,0,0,8,1,0,0
117,12,1,31500,0,1,8,1,0,0
118,12,1,31650,0,1,8,1,0,0
119,12,1,25200,0,1,8,1,0,0
120,16,3,37800,0,1,8,0,0,1
121,15,1,18750,0,1,8,1,0,0
122,15,1,32550,0,1,8,1,0,0
123,12,1,33300,0,1,8,1,0,0
124,16,1,38550,0,1,8,1,0,0
125,12,1,27450,1,0,8,1,0,0
126,15,2,24300,1,0,8,0,1,0
127,12,2,30750,1,0,8,0,1,0
128,12,1,19650,1,1,8,1,0,0
129,17,3,68750,0,0,9,0,0,1
130,20,3,59375,0,0,9,0,0,1
131,15,1,31500,0,0,9,1,0,0
132,12,1,27300,0,0,9,1,0,0
133,15,1,27000,0,0,9,1,0,0
134,16,3,41550,0,1,9,0,0,1
135,12,1,26250,0,1,9,1,0,0
136,12,1,22200,0,0,10,1,0,0
137,21,3,65000,0,0,10,0,0,1
138,12,1,30900,0,0,10,1,0,0
139,8,1,20100,0,1,10,1,0,0
140,12,1,22350,0,1,10,1,0,0
141,15,1,35550,0,1,10,1,0,0
142,12,1,28500,0,1,10,1,0,0
143,12,1,24450,0,1,10,1,0,0
144,8,1,16650,0,1,10,1,0,0
145,12,1,26700,1,0,10,1,0,0
146,18,1,43950,1,0,10,1,0,0
147,15,1,23700,1,0,10,1,0,0
148,15,1,26550,1,1,10,1,0,0
149,12,1,27600,0,0,11,1,0,0
150,12,1,25800,0,0,11,1,0,0
151,16,3,42300,0,0,11,0,0,1
152,8,2,30750,0,0,11,0,1,0
153,12,1,26700,0,1,11,1,0,0
154,12,1,20850,0,1,11,1,0,0
155,15,1,35250,1,0,11,1,0,0
156,15,1,26700,1,0,11,1,0,0
157,12,1,26550,1,1,11,1,0,0
158,12,1,27750,1,1,11,1,0,0
159,16,1,25050,1,1,11,1,0,0
160,16,3,66000,0,0,12,0,0,1
161,16,1,52650,0,0,12,1,0,0
162,16,3,45625,0,0,12,0,0,1
163,15,1,30900,0,0,12,1,0,0
164,15,1,29400,0,1,12,1,0,0
165,15,1,33300,0,1,12,1,0,0
166,12,1,21900,0,1,12,1,0,0
167,12,1,18150,0,1,12,1,0,0
168,16,3,46875,0,1,12,0,0,1
169,12,1,25500,1,0,12,1,0,0
170,12,1,26550,1,0,12,1,0,0
171,12,1,26700,1,0,12,1,0,0
172,15,1,29850,1,1,12,1,0,0
173,20,3,69250,0,0,13,0,0,1
174,8,2,31950,0,0,13,0,1,0
175,8,1,26250,0,0,13,1,0,0
176,16,1,35700,0,1,13,1,0,0
177,12,1,28500,0,1,13,1,0,0
178,12,1,17100,0,1,13,1,0,0
179,12,1,25200,1,0,13,1,0,0
180,12,1,24000,1,1,13,1,0,0
181,12,1,27450,1,1,13,1,0,0
182,12,1,18450,1,1,13,1,0,0
183,15,1,39300,0,0,14,1,0,0
184,15,1,38850,0,0,14,1,0,0
185,8,2,30750,0,0,14,0,1,0
186,15,1,37500,0,0,14,1,0,0
187,16,3,58750,0,0,14,0,0,1
188,12,1,34500,0,1,14,1,0,0
189,12,1,36000,0,1,14,1,0,0
190,8,1,29100,0,1,14,1,0,0
191,12,1,16500,0,1,14,1,0,0
192,12,1,19650,1,0,14,1,0,0
193,12,1,24750,1,1,14,1,0,0
194,15,1,27150,1,1,14,1,0,0
195,12,1,26400,1,1,14,1,0,0
196,16,1,23100,1,1,14,1,0,0
197,15,3,54900,0,0,15,0,0,1
198,19,3,70875,0,0,15,0,0,1
199,16,3,51250,0,0,15,0,0,1
200,17,3,67500,0,0,15,0,0,1
201,12,1,29340,0,0,15,1,0,0
202,15,1,39600,0,0,15,1,0,0
203,12,1,29100,0,0,15,1,0,0
204,15,1,33150,0,0,15,1,0,0
205,16,3,66750,0,0,15,0,0,1
206,12,2,33750,0,0,15,0,1,0
207,15,1,27300,0,0,15,1,0,0
208,12,1,24000,0,1,15,1,0,0
209,8,1,19800,0,1,15,1,0,0
210,15,1,30600,1,0,15,1,0,0
211,15,1,28950,1,0,15,1,0,0
212,15,1,38400,1,0,15,1,0,0
213,8,2,30750,1,0,15,0,1,0
214,12,1,20400,1,1,15,1,0,0
215,12,1,19200,1,1,15,1,0,0
216,15,1,30150,0,0,16,1,0,0
217,16,1,34620,0,0,16,1,0,0
218,15,1,80000,0,0,16,1,0,0
219,12,1,25350,0,0,16,1,0,0
220,12,1,29850,0,0,16,1,0,0
221,12,1,24000,0,1,16,1,0,0
222,15,1,27750,0,1,16,1,0,0
223,8,1,22350,0,1,16,1,0,0
224,12,1,16200,0,1,16,1,0,0
225,15,1,21900,0,1,16,1,0,0
226,16,1,23250,0,1,16,1,0,0
227,12,1,33900,0,1,16,1,0,0
228,15,1,25650,0,1,16,1,0,0
229,12,1,17250,0,1,16,1,0,0
230,15,1,22500,1,0,16,1,0,0
231,16,3,40200,0,0,17,0,0,1
232,19,3,55500,0,0,17,0,0,1
233,15,1,26550,0,0,17,1,0,0
234,15,1,50550,0,0,17,1,0,0
235,19,3,75000,0,0,17,0,0,1
236,8,1,27450,0,1,17,1,0,0
237,12,1,22650,0,1,17,1,0,0
238,12,1,27300,0,1,17,1,0,0
239,12,1,27750,0,1,17,1,0,0
240,16,3,54375,0,1,17,0,0,1
241,8,1,17400,0,1,17,1,0,0
242,12,1,40800,0,1,17,1,0,0
243,12,1,23100,0,1,17,1,0,0
244,8,1,22500,0,1,17,1,0,0
245,12,1,26700,0,1,17,1,0,0
246,12,1,24900,0,1,17,1,0,0
247,12,1,19650,0,1,17,1,0,0
248,12,1,22050,0,1,17,1,0,0
249,12,1,25500,0,1,17,1,0,0
250,15,1,28200,0,1,17,1,0,0
251,12,1,23100,0,1,17,1,0,0
252,12,1,25500,1,0,17,1,0,0
253,8,1,17100,1,1,17,1,0,0
254,18,3,68125,0,0,18,0,0,1
255,12,2,30600,0,0,18,0,1,0
256,19,3,52125,0,0,18,0,0,1
257,19,3,61875,0,0,18,0,0,1
258,8,1,21300,0,0,18,1,0,0
259,12,1,19650,0,1,18,1,0,0
260,12,1,22350,0,1,18,1,0,0
261,12,1,23400,0,1,18,1,0,0
262,12,1,24300,0,1,18,1,0,0
263,12,1,28500,0,1,18,1,0,0
264,12,1,19950,0,1,18,1,0,0
265,12,1,23400,0,1,18,1,0,0
266,16,1,34500,0,1,18,1,0,0
267,12,1,18150,0,1,18,1,0,0
268,12,1,22350,1,0,18,1,0,0
269,15,1,40200,0,0,19,1,0,0
270,15,1,28650,0,0,19,1,0,0
271,15,1,27750,0,0,19,1,0,0
272,18,1,66875,0,0,19,1,0,0
273,12,2,30000,0,0,19,0,1,0
274,16,3,83750,0,0,19,0,0,1
275,12,1,33900,0,0,19,1,0,0
276,16,3,56500,0,0,19,0,0,1
277,16,3,43000,0,1,19,0,0,1
278,8,1,20850,0,1,19,1,0,0
279,12,1,24450,0,1,19,1,0,0
280,12,1,24750,0,1,19,1,0,0
281,8,2,34500,1,0,19,0,1,0
282,14,1,27900,1,0,19,1,0,0
283,19,3,68125,0,0,20,0,0,1
284,19,3,73500,0,0,20,0,0,1
285,8,2,30750,0,0,20,0,1,0
286,15,3,40050,0,0,20,0,0,1
287,16,1,40350,0,0,20,1,0,0
288,15,3,38700,0,0,20,0,0,1
289,17,3,65000,0,0,20,0,0,1
290,18,3,51450,0,0,20,0,0,1
291,12,2,35250,0,0,20,0,1,0
292,14,1,25950,0,0,20,1,0,0
293,15,1,25050,0,0,20,1,0,0
294,12,1,26700,0,0,20,1,0,0
295,8,1,24000,0,0,20,1,0,0
296,12,1,26850,0,0,20,1,0,0
297,12,1,23400,0,1,20,1,0,0
298,12,1,24600,0,1,20,1,0,0
299,15,1,32550,0,1,20,1,0,0
300,16,1,26550,1,0,20,1,0,0
301,12,1,31500,1,0,20,1,0,0
302,8,1,22350,1,0,20,1,0,0
303,12,2,35250,1,0,20,0,1,0
304,15,1,25800,1,1,20,1,0,0
305,12,2,30750,0,0,21,0,1,0
306,15,1,30750,0,0,21,1,0,0
307,16,3,50000,0,0,21,0,0,1
308,15,1,34500,0,0,21,1,0,0
309,15,1,26250,0,0,21,1,0,0
310,16,1,44875,0,0,21,1,0,0
311,12,1,22500,0,1,21,1,0,0
312,12,1,25650,0,1,21,1,0,0
313,12,1,21300,0,1,21,1,0,0
314,12,1,29850,0,1,21,1,0,0
315,12,1,34500,0,1,21,1,0,0
316,15,1,27750,1,0,21,1,0,0
317,12,1,27750,1,0,21,1,0,0
318,16,3,48750,0,0,22,0,0,1
319,15,1,43410,0,0,22,1,0,0
320,12,1,22050,0,0,22,1,0,0
321,12,1,22050,0,1,22,1,0,0
322,12,1,22500,0,1,22,1,0,0
323,15,1,25500,0,1,22,1,0,0
324,12,1,29160,0,1,22,1,0,0
325,8,1,16800,0,1,22,1,0,0
326,8,2,29550,1,0,22,0,1,0
327,12,1,26700,1,0,22,1,0,0
328,18,3,55000,0,0,23,0,0,1
329,18,3,62500,0,0,23,0,0,1
330,15,1,27300,0,0,23,1,0,0
331,12,1,24450,0,1,23,1,0,0
332,16,1,33000,0,1,23,1,0,0
333,15,1,37050,0,1,23,1,0,0
334,12,1,24450,1,1,23,1,0,0
335,8,2,31950,0,0,24,0,1,0
336,16,3,47250,0,0,24,0,0,1
337,12,1,26100,0,1,24,1,0,0
338,8,1,15900,0,1,24,1,0,0
339,8,1,23700,0,1,24,1,0,0
340,8,1,21750,0,1,24,1,0,0
341,12,3,59400,1,0,24,0,0,1
342,12,1,24450,1,1,24,1,0,0
343,16,3,103500,0,0,25,0,0,1
344,12,1,35700,0,0,25,1,0,0
345,12,1,22200,0,1,25,1,0,0
346,15,1,22950,0,1,25,1,0,0
347,12,1,23100,0,1,25,1,0,0
348,16,3,56750,0,1,25,0,0,1
349,17,1,29100,0,1,25,1,0,0
350,12,1,37650,0,1,25,1,0,0
351,12,1,27900,0,1,25,1,0,0
352,8,1,21150,0,1,25,1,0,0
353,12,2,31200,1,0,25,0,1,0
354,12,1,20550,1,1,25,1,0,0
355,15,1,25950,0,0,26,1,0,0
356,15,1,28350,0,0,26,1,0,0
357,8,1,17700,0,1,26,1,0,0
358,15,1,23550,0,1,26,1,0,0
359,12,1,19950,0,1,26,1,0,0
360,12,1,29400,0,1,26,1,0,0
361,12,1,28800,0,1,26,1,0,0
362,8,1,16950,0,1,26,1,0,0
363,16,1,35700,1,0,26,1,0,0
364,12,1,17400,1,1,26,1,0,0
365,8,1,21450,1,1,26,1,0,0
366,12,1,24750,1,1,26,1,0,0
367,12,1,16950,1,1,26,1,0,0
368,12,1,26100,1,1,26,1,0,0
369,14,1,28050,0,0,27,1,0,0
370,16,1,36600,0,1,27,1,0,0
371,16,3,58125,0,1,27,0,0,1
372,15,1,21300,0,0,28,1,0,0
373,12,1,22500,0,0,28,1,0,0
374,15,1,29400,0,0,28,1,0,0
375,12,1,27450,0,0,28,1,0,0
376,15,1,29850,0,0,28,1,0,0
377,15,1,25350,0,0,28,1,0,0
378,8,1,15750,0,1,28,1,0,0
379,8,1,19650,0,1,28,1,0,0
380,12,1,21000,0,1,28,1,0,0
381,17,1,27000,1,0,28,1,0,0
382,12,1,24000,1,0,28,1,0,0
383,17,3,78500,1,0,28,0,0,1
384,12,1,20850,1,1,28,1,0,0
385,12,2,30000,0,0,29,0,1,0
386,8,2,28500,0,0,29,0,1,0
387,19,3,65000,0,0,29,0,0,1
388,14,1,30150,0,0,29,1,0,0
389,19,3,66875,0,0,29,0,0,1
390,15,1,24150,0,1,29,1,0,0
391,12,1,24450,0,1,29,1,0,0
392,12,1,21600,0,1,29,1,0,0
393,12,1,27900,0,1,29,1,0,0
394,8,1,29100,0,1,29,1,0,0
395,12,1,22650,0,1,29,1,0,0
396,12,1,20850,0,1,29,1,0,0
397,12,1,22950,0,1,29,1,0,0
398,12,1,30600,0,1,29,1,0,0
399,12,1,20400,0,1,29,1,0,0
400,12,1,23850,0,1,29,1,0,0
401,12,1,22800,0,1,29,1,0,0
402,12,1,20700,0,1,29,1,0,0
403,12,1,21300,1,1,29,1,0,0
404,12,1,24300,1,1,29,1,0,0
405,12,1,19650,1,1,29,1,0,0
406,17,3,60000,0,0,30,0,0,1
407,15,1,30300,0,0,30,1,0,0
408,19,3,61250,0,0,30,0,0,1
409,19,1,36000,0,0,30,1,0,0
410,8,1,25200,0,1,30,1,0,0
411,12,1,16200,0,1,30,1,0,0
412,12,1,22800,0,1,30,1,0,0
413,16,3,43500,0,1,30,0,0,1
414,8,2,30300,1,0,30,0,1,0
415,15,1,31950,1,0,30,1,0,0
416,15,1,35250,0,0,31,1,0,0
417,15,1,37800,0,0,31,1,0,0
418,15,1,31200,0,0,31,1,0,0
419,15,1,29400,0,0,31,1,0,0
420,19,3,70000,0,0,31,0,0,1
421,15,1,33900,0,0,31,1,0,0
422,15,1,27150,0,0,31,1,0,0
423,12,1,22200,0,1,31,1,0,0
424,15,1,31350,0,1,31,1,0,0
425,12,1,20850,0,1,31,1,0,0
426,16,1,33300,1,0,31,1,0,0
427,8,1,26250,1,0,31,1,0,0
428,15,1,31950,1,0,31,1,0,0
429,8,2,30000,1,0,31,0,1,0
430,19,3,66250,1,0,31,0,0,1
431,18,3,86250,0,0,32,0,0,1
432,12,1,30750,0,0,32,1,0,0
433,12,1,33540,0,0,32,1,0,0
434,16,1,34950,0,0,32,1,0,0
435,15,1,40350,0,0,32,1,0,0
436,12,1,30270,0,0,32,1,0,0
437,8,1,26250,0,0,32,1,0,0
438,15,1,32400,0,0,32,1,0,0
439,12,1,20400,0,1,32,1,0,0
440,8,1,24150,0,1,32,1,0,0
441,15,1,23850,0,1,32,1,0,0
442,12,1,29700,0,1,32,1,0,0
443,8,1,21600,0,1,32,1,0,0
444,12,1,24450,0,1,32,1,0,0
445,15,1,28050,1,0,32,1,0,0
446,16,3,100000,1,0,32,0,0,1
447,15,1,49000,1,0,32,1,0,0
448,12,1,16350,1,1,32,1,0,0
449,16,3,70000,0,0,33,0,0,1
450,19,3,55000,0,0,33,0,0,1
451,15,1,28500,0,0,33,1,0,0
452,12,1,28800,0,0,33,1,0,0
453,15,1,24450,0,0,33,1,0,0
454,19,3,90625,0,0,33,0,0,1
455,16,3,43650,0,0,33,0,0,1
456,19,3,75000,0,0,33,0,0,1
457,15,1,31650,0,0,33,1,0,0
458,19,3,61875,0,0,33,0,0,1
459,12,1,21750,0,1,33,1,0,0
460,12,1,22500,0,1,33,1,0,0
461,8,1,21600,0,1,33,1,0,0
462,16,3,34410,0,1,33,0,0,1
463,15,1,20700,0,1,33,1,0,0
464,19,3,47550,0,0,34,0,0,1
465,12,1,33900,0,0,34,1,0,0
466,12,1,23400,0,1,34,1,0,0
467,16,1,32850,0,1,34,1,0,0
468,16,3,55750,0,1,34,0,0,1
469,15,1,25200,0,1,34,1,0,0
470,12,1,26250,1,0,34,1,0,0
471,15,1,26400,1,0,34,1,0,0
472,15,1,39150,0,0,35,1,0,0
473,12,1,21450,0,1,35,1,0,0
474,12,1,29400,0,1,35,1,0,0
